"차종","엔진","트림","외장칼라","내장칼라","생산번호","출고센터","생산일","옵션","판매가격(만원)","기본조건","생산월조건","판촉차조건","페스타조건","슈퍼세이브조건","조건 계"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  224657","남양출고","2025-02-03 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6235","","","","","400","400"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  224523","아산출고","2025-02-03 00:00:00","빌트인 캠 패키지,파퓰러 패키지2","6815","","","","","400","400"
"GV70","가솔린","","세레스 블루 (유광)","옵시디언블랙/울트라마린블루투톤","0R  224162","울산출고","2025-02-04 00:00:00","뱅앤올룹슨 사운드 패키지,프리뷰 전자제어 서스펜션,빌트인 캠 패키지,드라이빙 어시스턴스 패키지2,파퓰러 패키지1","7150","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  224634","함안출고","2025-02-04 00:00:00","빌트인 캠 패키지,파퓰러 패키지2","6815","","","","","400","400"
"GV70","가솔린","","세레스 블루 (무광)","바닐라베이지투톤","0R  223699","옥천출고","2025-02-04 00:00:00","파노라마 선루프,아웃도어 패키지,뱅앤올룹슨 사운드 패키지,파퓰러 패키지2,빌트인 캠 패키지","7455","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  224637","칠곡출고","2025-02-04 00:00:00","빌트인 캠 패키지,파퓰러 패키지2","6815","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  224681","남양출고","2025-02-04 00:00:00","빌트인 캠 패키지,드라이빙 어시스턴스 패키지1","6130","","","","","400","400"
"GV70","가솔린","","스토르 그린 (유광)","블랙원톤","0R  224783","영남출고","2025-02-04 00:00:00","파퓰러 패키지1","6040","","","","","400","400"
"GV70","가솔린","","마칼루 그레이","하바나 브라운","0R  225119","영남출고","2025-02-06 00:00:00","파퓰러 패키지2,프리뷰 전자제어 서스펜션,뱅앤올룹슨 사운드 패키지,빌트인 캠 패키지","7250","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  225139","아산출고","2025-02-06 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6625","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  225321","신갈출고","2025-02-06 00:00:00","파퓰러 패키지1,뱅앤올룹슨 사운드 패키지,빌트인 캠 패키지","6275","","","","","400","400"
"GV70","가솔린","","세레스 블루 (유광)","옵시디언블랙/울트라마린블루투톤","0R  225481","신갈출고","2025-02-07 00:00:00","파노라마 선루프,뱅앤올룹슨 사운드 패키지,빌트인 캠 패키지,파퓰러 패키지2","7720","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  225464","원주출고","2025-02-07 00:00:00","빌트인 캠 패키지,파퓰러 패키지1,뱅앤올룹슨 사운드 패키지","6625","","","","","400","400"
"GV70","가솔린","","마칼루 그레이","하바나 브라운","0R  225453","남양출고","2025-02-08 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6755","","","","","400","400"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  225811","옥천출고","2025-02-10 00:00:00","빌트인 캠 패키지,드라이빙 어시스턴스 패키지1,2열 컴포트 패키지","6060","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  225943","칠곡출고","2025-02-11 00:00:00","파노라마 선루프,빌트인 캠 패키지,파퓰러 패키지1","6545","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  225832","영남출고","2025-02-11 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6105","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  226054","영남출고","2025-02-12 00:00:00","빌트인 캠 패키지,뱅앤올룹슨 사운드 패키지,파노라마 선루프,파퓰러 패키지1","7112","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  226287","옥천출고","2025-02-13 00:00:00","파노라마 선루프,빌트인 캠 패키지,파퓰러 패키지1","6545","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  226434","시흥출고","2025-02-14 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6405","","","","","400","400"
